Año,Trimestre,Provincia,Mbps (Media de bajada),Localidad
2022.0,4.0,Buenos Aires,111.0,25 de Mayo
2022.0,4.0,Capital Federal,18.286,Agustín Mosconi
2022.0,4.0,Catamarca,8.333,Del Valle
2022.0,4.0,Chaco,10.402,Ernestina
2022.0,4.0,Chubut,1.592,Gobernador Ugarte
2022.0,4.0,Córdoba,10.877,Lucas Monteverde
2022.0,4.0,Corrientes,9.472,Norberto de la Riestra
2022.0,4.0,Entre Ríos,8.747,Pedernales
2022.0,4.0,Formosa,7.203,San Enrique
2022.0,4.0,Jujuy,3.932,Valdés
2022.0,4.0,La Pampa,191.0,12 de Octubre
2022.0,4.0,La Rioja,61.0,9 de Julio
2022.0,4.0,Mendoza,3.876,Alfredo Demarchi  (Est. Facundo Quiroga)
2022.0,4.0,Misiones,9.124,Dudignac
2022.0,4.0,Neuquén,9.537,Manuel B. Gonnet  (Est. French)
2022.0,4.0,Río Negro,7.531,Patricios
2022.0,4.0,Salta,7.593,Villa General Fournier  (Est. 9 de Julio Sud)
2022.0,4.0,San Juan,1.639,Carhué
2022.0,4.0,San Luis,3.067,Colonia San Miguel Arcángel
2022.0,4.0,Santa Cruz,1.433,Esteban Agustín Gascón
2022.0,4.0,Santa Fe,903.0,Maza
2022.0,4.0,Santiago Del Estero,344.0,Rivera
2022.0,4.0,Tierra Del Fuego,1.348,Adolfo Gonzales Chaves  (Est. Chaves)
2022.0,4.0,Tucumán,8.833,De la Garma
2022.0,3.0,Buenos Aires,7.019,Juan E. Barra
2022.0,3.0,Capital Federal,10.105,Vásquez
2022.0,3.0,Catamarca,6.099,Alberti   (Est. Andrés Vaccarezza)
2022.0,3.0,Chaco,5.321,Mechita
2022.0,3.0,Chubut,1.557,Adrogué
2022.0,3.0,Córdoba,5.632,Burzaco
2022.0,3.0,Corrientes,4.507,Claypole
2022.0,3.0,Entre Ríos,4.249,Don Orione
2022.0,3.0,Formosa,3.035,Glew
2022.0,3.0,Jujuy,3.243,Jose Mármol
2022.0,3.0,La Pampa,1.81,Longchamps
2022.0,3.0,La Rioja,4.43,Malvinas Argentinas
2022.0,3.0,Mendoza,3.416,Ministro Rivadavia
2022.0,3.0,Misiones,4.93,Rafael Calzada
2022.0,3.0,Neuquén,4.781,San Francisco Solano
2022.0,3.0,Río Negro,3.413,San Jose
2022.0,3.0,Salta,4.133,OTROS
2022.0,3.0,San Juan,1.584,Arrecifes
2022.0,3.0,San Luis,1.933,Todd
2022.0,3.0,Santa Cruz,1.26,Viña
2022.0,3.0,Santa Fe,4.515,Avellaneda
2022.0,3.0,Santiago Del Estero,1.769,Crucesita
2022.0,3.0,Tierra Del Fuego,1.101,Dock Sud
2022.0,3.0,Tucumán,5.336,Gerli
2022.0,2.0,Buenos Aires,655.0,Pineyro
2022.0,2.0,Capital Federal,9.397,Sarandí
2022.0,2.0,Catamarca,5.656,Villa Domínico
2022.0,2.0,Chaco,5.061,Wilde
2022.0,2.0,Chubut,1.491,Ayacucho
2022.0,2.0,Córdoba,5.351,La Constancia
2022.0,2.0,Corrientes,4.331,Solanet
2022.0,2.0,Entre Ríos,4.003,Udaquiola
2022.0,2.0,Formosa,2.847,Azul
2022.0,2.0,Jujuy,2.939,Cacharí
2022.0,2.0,La Pampa,1.607,Chillar
2022.0,2.0,La Rioja,4.328,Bahía Blanca
2022.0,2.0,Mendoza,2.972,Cabildo
2022.0,2.0,Misiones,4.623,General Daniel Cerri  (Est. General Cerri)
2022.0,2.0,Neuquén,4.653,Ingeniero White
2022.0,2.0,Río Negro,3.326,Balcarce
2022.0,2.0,Salta,3.877,Los Pinos
2022.0,2.0,San Juan,1.444,Napaleofú
2022.0,2.0,San Luis,1.932,Ramos Otero
2022.0,2.0,Santa Cruz,1.181,San Agustín
2022.0,2.0,Santa Fe,4.201,Villa Laguna La Brava
2022.0,2.0,Santiago Del Estero,1.634,Baradero
2022.0,2.0,Tierra Del Fuego,1.097,Irineo Portela
2022.0,2.0,Tucumán,5.009,Santa Coloma
2022.0,1.0,Buenos Aires,6.251,Villa Alsina  (Est. Alsina)
2022.0,1.0,Capital Federal,8.822,Barker
2022.0,1.0,Catamarca,5.122,Benito Juárez  (Est. Juárez)
2022.0,1.0,Chaco,4.584,López
2022.0,1.0,Chubut,1.34,Villa Cacique  (Est. Alfredo Fortabat)
2022.0,1.0,Córdoba,4.989,Berazategui
2022.0,1.0,Corrientes,3.811,Berazategui Oeste
2022.0,1.0,Entre Ríos,3.559,Carlos Tomás Sourigues
2022.0,1.0,Formosa,3.028,Centro Agrícola El Pato
2022.0,1.0,Jujuy,2.769,Guillermo E. Hudson
2022.0,1.0,La Pampa,1.484,Juan María Gutierrez
2022.0,1.0,La Rioja,4.137,Pereyra
2022.0,1.0,Mendoza,2.62,Plátanos
2022.0,1.0,Misiones,4.187,Ranelagh
2022.0,1.0,Neuquén,4.305,Villa España
2022.0,1.0,Río Negro,3.109,Barrio El Carmen (Este)
2022.0,1.0,Salta,3.671,Berisso
2022.0,1.0,San Juan,1.199,Villa Arguello
2022.0,1.0,San Luis,2.095,Villa Nueva
2022.0,1.0,Santa Cruz,1.089,Villa Progreso
2022.0,1.0,Santa Fe,3.889,Hale
2022.0,1.0,Santiago Del Estero,1.45,OTROS
2022.0,1.0,Tierra Del Fuego,1.073,Pirovano
